Run1 
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      249.4   241.6    86.8   138.5   150.3   216.8   256.6   283.6   305.5   333.5   369.3   424.2   592.0  2674.0  9208.7  29967.7    30000
read      250.0   219.0    74.4   130.7   144.9   220.0   262.4   289.8   312.1   340.0   375.3   429.1   590.7  2482.4  8642.4  30065.8    30010
read      250.7   217.1    74.4   133.9   147.7   220.7   263.0   290.5   312.7   340.3   374.5   427.6   585.0  2621.8  9208.0  30045.0    30020
read      253.3   227.2    80.4   137.2   150.1   222.9   266.0   293.1   315.0   341.9   376.1   429.2   586.6  2829.4  8506.7  29984.0    30030
read      249.5   219.7    74.4   134.0   147.8   220.6   262.3   288.9   310.1   336.2   369.7   420.7   572.2  2678.8  8334.8  30046.7    30040
read      253.9   244.8    74.4   135.5   149.2   223.2   265.7   293.1   315.4   342.4   376.7   429.1   597.4  2579.5 10787.0  30070.0    30050
read      256.9   220.1    80.4   136.4   149.3   229.0   274.0   301.4   322.0   347.8   382.2   432.7   589.4  2308.5  9276.6  30158.8    30060
read      249.4   228.1    80.4   139.1   151.3   218.3   258.1   284.3   305.5   332.7   367.6   420.1   584.7  2467.3  9487.2  30063.0    30070
read      255.2   222.0    74.4   136.3   149.8   225.4   269.4   296.8   318.8   345.3   379.4   429.7   589.2  2607.9  8528.2  30025.7    30080
read      242.6   216.0    80.4   132.9   146.2   214.2   252.6   278.0   298.7   325.0   358.9   407.0   547.7  2366.1  8930.2  30107.3    30090
read      245.7   216.6    80.4   131.9   145.3   215.3   256.1   284.0   306.1   334.0   369.1   421.2   570.5  2426.0  9960.5  30040.2    30100
read      251.0   204.3    74.4   134.6   148.4   223.4   266.1   292.8   313.9   339.7   372.6   423.9   575.4  2271.0  8191.9  30108.5    30110
read      248.1   224.7    74.4   136.4   149.2   219.2   259.7   286.1   307.0   332.9   365.9   415.0   568.9  2423.3  9177.1  30099.9    30120
read      248.3   208.7    74.4   133.0   146.5   220.3   262.7   289.5   310.5   336.0   368.4   417.7   569.9  2300.3  8133.0  30193.0    30130
read      251.0   213.8    74.4   132.5   147.1   221.1   264.8   293.9   316.9   344.7   378.7   427.3   566.6  2176.6  9424.2  30140.4    30140
read      252.1   214.6    74.4   131.0   144.1   221.4   267.4   296.9   320.1   348.3   382.9   431.4   579.7  2538.1  8590.8  30135.7    30150
read      254.2   221.3    74.4   131.6   145.6   223.9   268.2   297.8   321.8   351.0   385.8   434.7   582.2  2293.3  9816.3  30175.1    30160


run2

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      242.5   217.8    80.4   129.2   141.7   214.9   257.4   283.1   302.2   325.7   357.5   405.9   564.1  2378.7  8623.5  29970.8    30000
read      252.9   227.0    80.4   134.4   147.1   223.1   268.2   295.2   316.2   342.0   374.6   427.8   594.4  2353.1  9214.1  30062.2    30010
read      248.0   228.8    80.4   137.7   149.1   218.1   260.7   286.7   306.6   331.6   364.0   415.3   580.0  2453.7  9197.8  29995.4    30020
read      253.5   243.0    74.4   135.5   149.0   224.2   267.2   293.0   313.1   337.3   368.7   421.6   598.8  2834.1 10077.1  30005.7    30030
read      243.4   236.7    74.4   132.6   144.9   214.5   255.4   280.9   300.3   325.1   358.4   409.5   569.1  2153.7  9281.5  30007.2    30040
read      249.6   219.6    80.4   132.1   145.9   222.1   264.3   290.1   310.3   335.3   367.8   420.8   586.7  2169.6  8712.3  29994.0    30050
read      246.4   242.0    74.4   129.0   142.4   216.9   259.8   286.5   307.2   332.3   364.0   414.7   580.5  2840.4  9593.0  30083.3    30060
read      251.8   221.1    68.9   129.0   143.0   223.5   268.7   296.0   317.2   342.2   373.1   428.4   595.1  2567.8  9725.5  30071.2    30070
read      246.3   209.5    74.4   134.3   146.7   218.9   261.1   286.8   306.4   330.3   362.0   415.3   567.9  2141.0  8314.5  30095.7    30080
read      252.5   245.3    74.4   132.0   145.8   223.2   266.3   292.2   312.3   336.8   369.3   427.4   592.3  2981.1 10656.4  30049.3    30090
read      247.9   241.2    74.4   131.8   144.8   218.4   261.3   287.9   308.0   332.8   366.8   424.9   572.7  2381.5  9808.8  30047.2    30100
read      249.3   233.3    80.4   128.7   142.6   220.6   263.8   290.2   310.6   336.4   371.6   429.3   584.1  2439.9  9789.0  30054.8    30110
read      245.1   233.6    74.4   130.8   142.8   216.2   258.9   284.8   304.3   329.0   363.1   416.6   567.4  2606.2  8754.9  30070.8    30120
read      246.9   230.0    74.4   134.0   147.6   218.6   258.2   283.2   303.0   329.4   364.6   416.8   562.4  2311.8 11483.5  30063.5    30130
read      239.4   209.8    80.4   131.4   144.1   211.8   249.3   273.0   292.8   318.3   353.8   406.8   546.1  2331.7  8689.0  30088.9    30140
read      242.8   221.7    74.4   127.6   140.4   212.7   255.0   283.7   305.6   332.3   366.0   417.3   566.0  2373.9  9758.2  30166.0    30150



run3 
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      245.5   214.3    80.4   131.5   144.4   219.6   262.3   287.9   307.2   330.3   359.6   403.1   551.2  2349.0  9787.9  29980.5    30000
read      241.7   208.8    80.4   132.4   144.7   213.5   253.7   279.2   298.8   322.4   354.0   402.7   565.7  2645.7  8478.3  30010.5    30010
read      248.2   213.9    80.4   130.4   143.7   221.7   265.0   291.0   310.9   334.8   365.3   413.9   580.0  2204.2  8996.9  29943.7    30020
read      244.1   222.3    80.4   131.8   145.5   216.8   256.2   281.4   300.7   324.3   355.8   404.7   557.5  2389.8  8662.0  30061.0    30030
read      247.4   214.0    74.4   134.6   147.9   219.8   261.5   287.4   307.0   330.6   361.0   408.0   562.6  2690.5  8516.9  30088.3    30040
read      245.4   219.7    74.4   131.8   144.8   217.5   259.4   285.5   305.5   329.7   360.3   405.6   568.5  2522.0  8529.3  30010.2    30050
read      240.3   198.4    74.4   129.9   143.1   214.0   254.4   280.1   299.1   322.3   352.3   399.8   552.6  2033.4  8443.9  30150.6    30060
read      246.4   204.0    74.4   130.8   144.8   220.9   262.3   287.8   307.3   330.9   360.9   406.5   560.3  2276.4  8210.9  30063.0    30070
read      244.6   227.8    74.4   128.7   142.7   216.1   257.9   284.7   304.9   329.2   360.3   408.1   563.2  2809.5  9374.3  30034.0    30080
read      246.3   223.3    80.4   131.0   144.0   220.7   263.2   288.9   308.2   331.1   359.9   403.3   552.9  2387.8  9868.5  30063.1    30090
read      243.3   212.4    80.4   135.6   147.8   217.3   257.3   281.9   300.3   322.4   351.3   397.8   545.6  2442.6  8184.8  30079.4    30100
read      245.7   225.2    74.4   130.5   144.4   219.4   260.3   285.2   304.1   326.7   356.4   401.7   566.0  2423.0  9712.2  30128.0    30110
read      248.1   216.3    80.4   136.9   149.5   221.1   263.1   288.5   307.9   331.0   361.0   407.9   562.9  2063.1  8637.2  30114.8    30120
read      240.5   213.2    74.4   131.1   143.2   212.9   254.5   280.8   300.3   323.4   353.0   399.1   545.7  2249.5  8657.1  30158.9    30130
read      236.7   217.5    74.4   130.3   143.1   210.5   248.1   271.5   289.8   311.9   340.6   388.5   541.4  2504.3  8635.8  30127.2    30140

