ubuntu@client-measure-kzd0:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.230 -a 10.156.15.229 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 4
Random waveform, supplied seed
Total number of intervals = 180 (5002, 54986, 7130, 84290, 17452, 88208, 22877, 72971, 73135, 75186, 55733, 12378, 35768, 18138, 25316, 16286, 70039, 7925, 55700, 30401, 68647, 75977, 38812, 73569, 41545, 15233, 39948, 63492, 68082, 81456, 65924, 9635, 9732, 23037, 94715, 34730, 55405, 7436, 96598, 48830, 98879, 93373, 89615, 6275, 62579, 32621, 55023, 56191, 13630, 75839, 11268, 91542, 95358, 14465, 46522, 68275, 94880, 61112, 65501, 28015, 63771, 6718, 11191, 31233, 94928, 97715, 11135, 39480, 80154, 33026, 5268, 55976, 15291, 67253, 16304, 86493, 77575, 24032, 9375, 12678, 34572, 52641, 11030, 76616, 49936, 54228, 94769, 90660, 99798, 57659, 93618, 26403, 43387, 10044, 39624, 41474, 66593, 39775, 12340, 67852, 19176, 87812, 19141, 72767, 63416, 32230, 24915, 17561, 18091, 99427, 83040, 99355, 25742, 58482, 52445, 39976, 65714, 85849, 86593, 54564, 39577, 14343, 6139, 67434, 15213, 84735, 76404, 96170, 73743, 30666, 57058, 62785, 62130, 73914, 56612, 57338, 99906, 61065, 38132, 41320, 39242, 83059, 26336, 61300, 93660, 65334, 58894, 29662, 5808, 95639, 86335, 85220, 52894, 80911, 31316, 54124, 53152, 62479, 51223, 25168, 99184, 91048, 57941, 82238, 15783, 62638, 72072, 58970, 80048, 65921, 54854, 56548, 40027, 66638, 32005, 48830, 6161, 56344, 17598, 83020)
Average QPS expected = 52310
Timestamp start: 1653138720848
Timestamp end: 1653140521244

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      490.1  1197.4   109.4   210.5   247.5   393.1   446.6   478.0   500.4   529.4   575.0   686.1  2405.5 29099.2 37503.7   5000.9     5002
read      535.6   578.4    86.8   179.5   208.1   394.2   518.6   611.4   706.1   835.7  1023.5  1360.1  2093.0  5364.9 23380.5  54890.7    54986
read      516.8  1212.9   109.4   196.0   230.8   398.8   457.6   495.9   524.5   556.8   617.5   770.9  3541.3 28106.8 38266.2   7130.4     7130
read      835.4   962.1    93.8   256.2   291.2   496.8   817.5  1169.0  1429.2  1585.6  1730.0  1957.5  3098.9 10165.4 32163.7  84211.3    84290
read      605.2  1188.4   101.3   188.9   216.9   446.0   559.9   631.8   711.0   794.3   883.8  1099.2  4270.8 16117.2 37222.1  17403.1    17452
read      814.5  1102.0   101.3   259.8   295.3   470.7   698.2  1010.7  1292.5  1514.5  1674.1  1916.1  3927.8 12311.2 32305.8  88218.9    88208
read      616.2  1118.7    93.8   185.8   214.1   441.0   566.6   648.0   742.6   856.9   985.1  1234.0  4073.8 14345.2 36379.4  22945.0    22877
read      682.3   801.4    93.8   217.0   250.4   453.7   617.2   783.5   938.1  1127.5  1418.9  1819.6  2949.3  6649.4 31035.1  72957.7    72971
read      639.5   677.7    93.8   217.7   248.7   444.0   591.2   736.5   873.2  1050.3  1288.1  1680.3  2515.8  6698.8 25803.1  73049.1    73135
read      668.4   698.8    93.8   216.8   249.9   450.6   615.7   785.4   942.4  1137.3  1424.1  1767.4  2727.6  6280.8 25470.0  75094.1    75186
read      565.6   722.6    93.8   182.5   212.5   407.0   529.8   628.0   718.4   869.2  1080.2  1385.5  2438.3  7231.6 30877.5  55694.3    55733
read      557.2  1044.0   101.3   192.8   225.1   442.2   515.4   561.2   595.7   641.9   709.2   902.5  3953.9 11713.0 35659.2  12344.4    12378
read      586.6   836.5    93.8   176.4   206.2   438.6   570.9   667.1   745.5   888.1  1091.0  1331.3  2712.5  8556.6 32080.6  35758.9    35768
read      600.1  1097.0    93.8   187.4   218.4   471.4   565.0   627.1   678.3   736.7   827.7  1064.5  4010.3 13752.5 32452.5  18113.7    18138
read      592.4   960.7    93.8   182.0   211.8   468.0   576.5   646.7   710.9   783.7   925.5  1199.6  3635.2  9656.5 36061.2  25348.6    25316
read      550.6   915.1   101.3   180.7   213.0   461.0   543.5   592.1   631.8   684.7   757.5   934.2  3127.6 10277.6 36647.6  16337.1    16286
read      608.0   679.4    93.8   203.6   235.0   433.3   566.1   687.2   799.6   964.2  1195.5  1592.2  2466.8  6782.2 29327.6  70177.0    70039
read      560.2  1322.5   109.4   210.9   243.5   415.0   484.0   520.0   546.2   581.5   635.7   857.3  3913.6 26099.7 37962.1   7932.0     7925
read      562.1   651.8    93.8   191.9   221.2   422.1   548.9   638.2   725.3   838.5  1020.7  1354.9  2321.0  6669.3 28888.3  55598.9    55700
read      627.0  1053.3    86.8   169.5   197.0   464.1   600.9   687.6   770.6   869.6  1084.2  1385.6  3809.4 11971.1 35529.0  30412.5    30401
