##### 2 threads 1 core ####

ubuntu@client-measure-l85z:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.223 -a 10.156.15.221 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 5 --scan 5000:120000:5000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      269.4   290.7    86.8   153.3   172.4   247.7   275.0   291.1   303.1   318.4   342.2   390.8   573.5  4961.2 12323.4   4953.4     5000  1652986907672  1652986913029
read      299.4   428.1    86.8   141.6   163.4   277.6   323.7   350.0   368.1   390.3   419.3   466.3   618.9  3163.4 30532.5   9920.8    10000  1652986914533  1652986919856
read      329.7   343.8    80.4   135.5   155.9   303.2   368.6   410.1   439.3   471.5   511.5   573.9   715.3  3110.8 13682.9  15030.6    15000  1652986921359  1652986926654
read      336.2   202.9    80.4   134.0   152.3   308.2   384.4   435.2   468.7   504.6   547.9   620.5   777.7  1569.6  5757.9  20027.6    20000  1652986928156  1652986933447
read      351.8   231.8    80.4   132.0   150.0   313.5   402.8   461.6   502.3   546.2   597.9   682.0   860.7  2752.3  5754.2  25091.6    25000  1652986934951  1652986940252
read      354.8   312.9    74.4   131.6   149.3   310.6   403.1   466.5   511.6   559.0   615.7   695.1   889.7  1415.5 10765.3  30007.6    30000  1652986941755  1652986947038
read      351.3   251.5    80.4   128.7   144.2   280.7   386.2   462.4   523.3   588.1   668.2   786.8  1001.1  1352.7  7596.4  35001.6    35000  1652986948543  1652986953839
read      354.6   280.3    74.4   128.2   143.6   267.2   376.6   460.9   530.6   609.4   700.1   825.7  1071.7  2204.7  7401.4  39932.2    40000  1652986955342  1652986960621
read      360.9   277.1    74.4   129.8   146.2   267.4   375.9   460.1   534.6   623.7   724.6   874.8  1121.7  1516.0  8271.1  45162.7    45000  1652986962124  1652986967424
read      362.4   307.8    74.4   127.8   144.0   257.6   358.8   441.3   529.0   632.6   756.8   931.0  1214.2  1960.6  7836.3  50018.4    50000  1652986968927  1652986974205
read      364.3   321.5    68.9   127.7   143.1   253.1   348.9   427.4   512.2   629.6   778.9   990.2  1329.4  1840.9  5884.6  54789.0    55000  1652986975708  1652986980987
read      364.4   323.9    68.9   127.5   143.1   250.1   336.6   416.0   493.4   622.5   796.4  1040.4  1371.5  1809.5  9591.8  59929.8    60000  1652986982490  1652986987772
read      353.9   322.2    68.9   122.6   137.9   236.1   317.4   391.4   466.0   606.1   800.8  1036.1  1411.4  1888.5  7131.0  64903.8    65000  1652986989276  1652986994557
read      354.6   365.8    68.9   120.0   135.4   232.8   305.2   368.0   435.5   571.7   810.3  1111.8  1536.7  2188.8  9302.9  69964.4    70000  1652986996060  1652987001330
read      347.1   352.7    74.4   120.6   135.7   228.0   293.8   355.5   421.3   545.6   775.6  1105.3  1555.7  2269.7  8284.7  74869.6    75000  1652987002833  1652987008117
read      343.6   356.1    74.4   120.0   135.0   226.0   289.2   343.0   399.4   511.1   766.0  1112.3  1617.1  2236.4  7633.8  80058.8    80000  1652987009621  1652987014894
read      353.3   368.0    68.9   123.1   138.8   230.4   291.5   343.2   399.2   509.8   782.2  1184.1  1713.8  2431.7  8017.2  84833.0    85000  1652987016397  1652987021689
read      347.7   387.1    74.4   121.6   136.4   225.9   285.3   336.1   390.8   496.8   756.4  1168.4  1717.1  2567.5  9485.8  90088.0    90000  1652987023192  1652987028473
read      357.4   397.1    74.4   125.5   141.5   233.7   290.8   336.4   384.1   487.5   771.7  1203.9  1852.0  2767.2  8478.4  94789.8    95000  1652987029976  1652987035273
read      320.6   349.8    68.9   117.0   130.7   207.6   256.3   300.9   349.2   440.0   668.4  1092.8  1670.5  2521.6  6964.7 100050.7   100000  1652987036777  1652987042056
read      369.6   471.8    74.4   124.6   140.1   229.7   287.2   331.9   376.3   466.7   745.3  1273.3  2351.9  3962.7 10314.5 105100.2   105000  1652987043559  1652987048852
read      527.7  1335.2    68.9   138.3   159.1   269.5   327.9   367.8   402.5   459.7   641.6  1891.1  5647.7 14875.6 36093.9 108939.4   110000  1652987050355  1652987055633
read      480.1  1329.5    74.4   133.2   151.2   250.2   303.4   336.0   363.5   403.3   511.2  1326.1  5901.2 12939.0 35578.2 114348.0   115000  1652987057136  1652987062420
read      538.2  1744.4    74.4   141.0   160.0   255.5   302.7   332.6   356.8   390.5   455.5  1233.0  8602.5 30367.0 37195.6 117972.0   120000  1652987063924  1652987069194
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 76.55%,29.65%,100.00%



#1652986898.88 1.0 1.0 2.0 2.0
#1652986899.88 0.0 1.0 0.0 1.0
#1652986900.88 1.0 0.0 1.0 0.0
#1652986901.89 0.0 2.0 0.0 0.0
#1652986902.89 1.0 1.0 2.0 1.0
#1652986903.89 2.0 0.0 1.0 1.0
#1652986904.89 0.0 0.0 1.0 1.0
#1652986905.89 0.0 0.0 0.0 0.0
1652986906.89 2.0 2.0 1.0 1.0
1652986907.89 0.0 0.0 1.0 1.0
1652986908.9 3.0 2.2 3.0 1.0
1652986909.9 0.0 1.1 0.0 0.0
1652986910.9 1.0 0.0 1.0 0.0
1652986911.9 1.0 0.0 1.0 1.0
1652986912.9 2.0 2.0 0.0 0.0
1652986913.9 1.0 0.0 0.0 0.0
1652986914.9 0.0 1.1 1.0 0.0
1652986915.91 1.0 3.3 1.0 1.1
1652986916.91 1.0 0.0 0.0 0.0
1652986917.91 0.0 1.1 1.0 2.0
1652986918.91 0.0 2.2 1.0 1.0
1652986919.91 2.0 1.0 0.0 0.0
1652986920.91 1.0 0.0 1.0 0.0
1652986921.91 0.0 1.2 2.1 1.1
1652986922.92 1.1 2.4 0.0 0.0
1652986923.92 1.1 1.2 2.0 0.0
1652986924.92 2.1 0.0 1.0 2.1
1652986925.92 0.0 1.1 2.0 0.0
1652986926.92 1.0 0.0 2.0 1.0
1652986927.92 2.1 2.2 0.0 0.0
1652986928.92 1.1 2.5 1.0 2.1
1652986929.93 0.0 0.0 0.0 0.0
1652986930.93 3.3 2.5 1.0 2.1
1652986931.93 1.1 2.4 1.0 0.0
1652986932.93 2.1 1.1 1.0 2.0
1652986933.93 0.0 0.0 0.0 1.0
1652986934.93 1.1 1.2 1.0 0.0
1652986935.93 1.1 2.7 0.0 0.0
1652986936.94 1.1 4.0 0.0 1.1
1652986937.94 0.0 0.0 2.1 0.0
1652986938.94 3.3 3.9 2.1 2.1
1652986939.94 0.0 1.1 0.0 2.0
1652986940.94 1.0 0.0 1.0 0.0
1652986941.94 2.2 1.4 1.1 1.1
1652986942.94 1.1 1.4 2.1 0.0
1652986943.94 1.1 1.4 0.0 1.0
1652986944.95 1.2 1.4 1.1 1.1
1652986945.95 0.0 1.4 1.1 1.1
1652986946.95 1.0 1.0 1.0 2.0
1652986947.95 1.0 0.0 0.0 1.0
1652986948.95 3.5 2.9 2.2 0.0
1652986949.95 0.0 0.0 1.1 1.1
1652986950.95 0.0 1.5 0.0 0.0
1652986951.96 3.5 4.5 3.2 3.2
1652986952.96 1.1 2.7 1.1 1.1
1652986953.96 0.0 0.0 0.0 0.0
1652986954.96 2.2 0.0 3.0 1.1
1652986955.96 0.0 6.2 1.1 1.1
1652986956.96 2.4 0.0 0.0 0.0
1652986957.96 1.2 3.2 1.1 0.0
1652986958.97 3.6 4.8 3.2 2.2
1652986959.97 1.1 0.0 1.0 0.0
1652986960.97 0.0 1.0 0.0 2.0
1652986961.97 2.2 1.4 1.1 2.1
1652986962.97 1.2 1.8 1.1 2.2
1652986963.97 0.0 4.9 1.1 1.1
1652986964.97 1.2 3.5 0.0 2.2
1652986965.98 1.2 3.7 1.1 2.3
1652986966.98 2.1 4.7 0.0 2.1
1652986967.98 2.0 0.0 0.0 0.0
1652986968.98 3.7 12.1 2.1 2.2
1652986969.98 2.5 9.1 1.1 0.0
1652986970.98 2.5 7.4 2.1 1.1
1652986971.98 0.0 8.8 2.1 1.1
1652986972.99 3.7 8.8 2.1 1.1
1652986973.99 0.0 1.1 0.0 0.0
1652986974.99 1.0 3.1 1.0 1.0
1652986975.99 1.2 16.7 2.3 3.5
1652986976.99 3.7 30.0 2.4 2.3
1652986977.99 3.7 25.0 1.1 1.1
1652986978.99 1.2 14.5 2.3 2.3
1652986980.0 3.4 3.6 1.1 2.2
1652986981.0 1.0 2.0 1.0 3.0
1652986982.0 1.1 12.0 0.0 2.1
1652986983.0 5.3 38.1 4.3 1.1
1652986984.0 1.4 32.3 2.2 3.3
1652986985.0 5.1 30.5 1.1 2.3
1652986986.01 2.6 26.7 2.2 1.1
1652986987.01 5.7 20.8 1.1 1.1
1652986988.01 0.0 0.0 1.0 1.0
1652986989.01 3.5 27.6 2.1 6.3
1652986990.01 2.6 41.5 0.0 1.1
1652986991.01 6.3 32.8 2.2 1.1
1652986992.01 5.0 32.3 1.1 2.2
1652986993.01 3.9 38.7 4.3 2.2
1652986994.02 0.0 13.4 1.1 1.1
1652986995.02 1.0 1.0 2.0 2.0
1652986996.02 3.6 42.2 1.1 3.3
