ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 4
Random waveform, supplied seed
Total number of intervals = 180 (5002, 54986, 7130, 84290, 17452, 88208, 22877, 72971, 73135, 75186, 55733, 12378, 35768, 18138, 25316, 16286, 70039, 7925, 55700, 30401, 68647, 75977, 38812, 73569, 41545, 15233, 39948, 63492, 68082, 81456, 65924, 9635, 9732, 23037, 94715, 34730, 55405, 7436, 96598, 48830, 98879, 93373, 89615, 6275, 62579, 32621, 55023, 56191, 13630, 75839, 11268, 91542, 95358, 14465, 46522, 68275, 94880, 61112, 65501, 28015, 63771, 6718, 11191, 31233, 94928, 97715, 11135, 39480, 80154, 33026, 5268, 55976, 15291, 67253, 16304, 86493, 77575, 24032, 9375, 12678, 34572, 52641, 11030, 76616, 49936, 54228, 94769, 90660, 99798, 57659, 93618, 26403, 43387, 10044, 39624, 41474, 66593, 39775, 12340, 67852, 19176, 87812, 19141, 72767, 63416, 32230, 24915, 17561, 18091, 99427, 83040, 99355, 25742, 58482, 52445, 39976, 65714, 85849, 86593, 54564, 39577, 14343, 6139, 67434, 15213, 84735, 76404, 96170, 73743, 30666, 57058, 62785, 62130, 73914, 56612, 57338, 99906, 61065, 38132, 41320, 39242, 83059, 26336, 61300, 93660, 65334, 58894, 29662, 5808, 95639, 86335, 85220, 52894, 80911, 31316, 54124, 53152, 62479, 51223, 25168, 99184, 91048, 57941, 82238, 15783, 62638, 72072, 58970, 80048, 65921, 54854, 56548, 40027, 66638, 32005, 48830, 6161, 56344, 17598, 83020)
Average QPS expected = 52310
Timestamp start: 1653223294365
Timestamp end: 1653225094808

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      414.1  1210.2   101.3   169.9   197.3   299.1   342.1   366.9   385.8   408.5   444.0   542.3  3024.6 23066.5 35599.3   4989.7     5002
read      462.8   659.5    86.8   148.5   167.7   303.7   416.3   510.5   613.8   763.1   936.6  1177.9  2168.2  7343.1 30842.5  54996.5    54986
read      494.0  1592.2    93.8   162.4   185.5   318.4   373.1   403.3   426.3   454.0   497.2   635.9  4441.4 31211.9 37432.8   7121.0     7130
read      478.1   621.9    86.8   164.3   186.9   329.2   435.5   524.8   612.3   739.7   928.2  1218.1  2174.2  5801.6 30082.7  84261.1    84290
read      521.1  1374.4    86.8   146.3   165.3   343.6   445.9   515.2   559.5   608.1   673.5   844.6  4475.5 30003.2 37144.7  17365.5    17452
read      492.3   654.5    86.8   164.6   187.0   323.7   430.1   528.8   632.2   785.1  1007.2  1356.0  2249.9  6491.9 30870.6  88206.2    88208
read      501.4  1173.8    86.8   147.1   165.5   345.0   454.7   532.2   587.8   647.1   722.2   881.1  3891.1 16118.3 36939.9  22927.7    22877
read      509.0   919.8    80.4   156.0   177.9   315.4   420.5   515.0   613.3   756.5   970.7  1336.1  3302.3  8360.9 32245.4  72881.0    72971
read      491.3   814.7    80.4   154.0   175.6   315.5   422.5   512.8   608.5   748.6   958.0  1286.2  2796.6  7460.2 31935.5  73051.4    73135
read      491.7   772.0    86.8   157.5   179.4   320.6   431.3   524.2   619.1   754.6   953.5  1277.2  2659.6  7498.9 31753.5  75306.0    75186
read      552.7  1137.8    86.8   151.0   172.4   320.9   438.6   540.6   647.3   796.4  1006.3  1391.6  4186.6 11517.7 36165.4  55727.4    55733
read      482.9  1174.6    93.8   151.2   172.1   344.6   431.9   480.9   514.3   552.1   608.0   771.9  3828.1 15948.4 32299.9  12380.1    12378
read      559.7  1354.4    80.4   148.3   167.9   331.1   460.3   566.8   659.6   758.4   893.9  1173.0  4205.3 28879.8 36665.1  35833.0    35768
read      500.9  1262.2    86.8   147.3   166.4   346.9   446.8   515.8   561.2   611.5   678.9   841.7  3691.4 24166.6 35040.9  18163.9    18138
