ubuntu@client-measure-n717:~/memcache-perf-dynamic$ ./mcperf -s 10.156.0.7 -a 10.156.0.11 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000
Random waveform, random seed
Total number of intervals = 180 (50783, 39334, 11704, 13217, 75230, 28448, 28988, 82222, 29396, 99875, 24697, 69929, 44960, 38123, 78095, 17568, 41823, 42512, 23141, 32683, 38369, 40567, 14614, 95602, 20335, 89958, 70467, 65953, 9849, 95563, 38627, 6021, 64263, 21182, 79129, 11022, 50253, 70683, 82622, 94543, 84637, 53338, 53322, 54773, 38466, 44650, 42288, 57201, 75440, 50345, 88301, 66222, 63785, 60290, 35250, 57942, 90046, 42224, 25728, 99151, 19900, 12634, 67395, 31900, 84248, 59988, 81394, 69182, 45705, 10126, 94405, 53864, 58289, 27492, 10410, 18881, 75960, 43651, 71951, 27041, 27250, 31562, 20842, 70370, 46143, 62383, 57184, 87177, 87451, 26882, 17048, 56770, 65460, 83135, 70782, 40148, 97439, 20736, 82346, 18236, 67160, 70381, 47969, 63563, 27195, 54053, 88666, 18140, 74533, 99967, 49432, 48604, 99568, 84118, 70954, 84736, 7175, 85621, 56082, 84388, 48418, 9502, 47752, 28718, 8084, 63411, 50790, 69421, 61379, 86617, 67843, 43812, 32468, 48505, 44918, 79870, 17927, 92636, 49918, 49232, 12367, 38953, 58110, 57611, 34518, 99075, 70435, 96418, 69794, 63629, 5567, 49976, 62558, 56198, 44475, 46522, 57822, 67352, 55865, 50091, 11428, 30785, 63696, 91084, 9556, 14419, 35420, 61034, 83011, 75470, 69400, 95046, 85504, 88559, 25391, 41479, 45136, 45505, 78886, 8741)
Average QPS expected = 53277
Timestamp start: 1653230722566
Timestamp end: 1653232522968

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      450.6   504.5    86.8   149.9   169.7   315.1   424.4   509.5   598.5   739.7   930.7  1184.8  1720.3  5409.0 13140.6  50694.5    50783
read      462.4   628.0    86.8   148.2   167.6   320.3   439.6   531.2   634.2   773.2   929.3  1131.5  1755.7  7282.3 30151.1  39401.8    39334
read      443.6  1130.3    93.8   149.4   169.7   334.5   420.4   469.6   502.3   539.2   586.6   677.0  1851.2 14998.8 32220.1  11719.5    11704
read      447.8  1089.9    93.8   150.2   170.5   340.5   430.6   485.7   522.1   561.9   612.9   704.3  2126.5 14551.3 32440.4  13227.1    13217
read      388.4   406.2    80.4   154.5   175.9   310.8   390.7   442.0   483.5   538.8   622.8   846.4  1563.7  4592.7 12122.6  75069.0    75230
read      456.5   879.3    86.8   145.0   164.0   332.6   448.8   534.9   608.9   691.1   787.5   923.4  1599.8 14209.7 32007.4  28511.9    28448
read      443.0   719.1    86.8   143.9   163.1   329.6   445.7   533.3   614.3   694.5   789.1   920.8  1444.9 10288.8 30377.0  28955.8    28988
read      359.8   331.4    80.4   160.3   182.7   315.4   382.5   423.1   453.8   492.2   545.1   631.4  1116.7  3971.9 10990.8  82319.9    82222
read      455.4   845.2    80.4   144.6   163.9   328.4   448.6   537.3   615.2   699.4   799.6   941.4  1672.4 13354.9 31865.6  29402.6    29396
read      372.5   371.0    80.4   169.6   193.2   327.9   390.1   426.4   455.0   491.2   541.2   637.1  1410.9  3740.5 14317.3  99750.9    99875
read      459.3   931.0    86.8   145.3   164.7   341.0   453.3   533.9   598.0   666.9   747.3   874.5  1672.1 13669.4 32183.3  24632.5    24697
read      423.3   467.0    80.4   151.9   172.8   308.3   403.0   469.8   531.9   626.4   793.1  1117.5  1762.8  3633.6 13969.7  69778.0    69929
read      443.4   639.7    86.8   145.6   165.0   312.7   428.3   508.5   596.3   717.4   871.9  1082.2  1561.7  6910.0 30465.4  44891.6    44960
